"region","name","name.short","method","sex","age","adult","tstart","tend","days","median.long","median.lat","uere.calibtration","color","speed.est","speed.high","speed.low","tau.position.est","tau.position.high","tau.position.low","tau.velocity.est","tau.velocity.high","tau.velocity.low","area.low","area.est","area.high","x.df","y.df","cell.area","total.cells","forest","floodplain","pasture","crop","dirt","savannah","water","urban","plantation"
"Pantanal","PA_34_CARIJO","CARIJO","GPS+VHF","MALE","SUB-ADULT","No",2012-11-21,2014-07-06 15:00:00,592.625,-55.8049667,-19.25880453,TRUE,"#4477AA",13.5765867906874,13.7446677127129,13.4084772667107,0.394159222150541,0.420653609538019,0.369333553507229,0.499031317422697,0.523175734255246,0.47600115881356,10.6401426007436,11.2393771699845,11.8547959135443,1315.46125470898,1315.46125470898,100,111740,0.410381242169322,0.563513513513514,0.00933416860569179,0,0,0,0,0,0
"Pantanal","PA_36_MICHELE","MICHELE","GPS+VHF","FEMALE","SUB-ADULT","No",2014-07-03,2014-08-31 20:00:00,59.8333333333333,-55.767027035,-19.307043435,TRUE,"#4477AA",7.69490645520311,8.14483091198875,7.24462817580073,0.787549107475552,1.05169683366,0.589745615689524,0.343893663632483,0.419079841204773,0.282196470120321,3.38608240229158,4.34296885400518,5.41712389425714,70.0820918425496,70.0820918425496,100,43196,0.592091860357441,0.363228076673766,0.0446800629687934,0,0,0,0,0,0
"Pantanal","PA_38_CASSANDRA","CASSANDRA","VHF","FEMALE","ADULT","Yes",2013-07-21,2014-09-19 02:16:00,425.094444444444,-55.81070268,-19.30059858,TRUE,"#4477AA",NA,NA,NA,0.412576326533081,0.953234731514106,0.178570104076209,NA,NA,NA,3.89326425479867,5.06735041914402,6.39380283275816,62.9278567963656,62.9278567963656,100,50416,0.881823230720406,0.118176769279594,0,0,0,0,0,0,0
"Pantanal","PA_40_MALU","MALU","GPS+VHF","FEMALE","ADULT","Yes",2013-10-22,2015-05-17 22:00:00,572.916666666667,-55.79910578,-19.27578472,TRUE,"#4477AA",12.8792315719371,13.0764059159321,12.6820157573934,0.558929910616596,0.600743773043797,0.520026438890945,0.361664826651912,0.380692759215285,0.343587955564945,7.6903443123314,8.20350320135269,8.73300105630551,951.02524417673,951.02524417673,100,82370,0.468216583707661,0.50253733155275,0.0113997814738376,0,0,0,0,0,0
"Pantanal","PA_47_MORENINHO","MORENINHO","GPS","MALE","SUB-ADULT","No",2014-12-08,2016-01-04 22:00:00,392.916666666667,-55.7534245,-19.323774,TRUE,"#4477AA",8.32572553580671,8.48442032667939,8.16698922315905,0.26140057490518,0.279837047939057,0.244178749968944,0.376703692310828,0.402955592363074,0.352162060758174,2.13272433268499,2.25253907849028,2.37558201598217,1321.72010111226,1321.72010111226,100,22405,0.643249274715465,0.356750725284535,0,0,0,0,0,0,0
"Pantanal","PA_48_TED","TED","GPS","MALE","SUB-ADULT","No",2015-11-16,2016-07-13 03:00:00,240.125,-55.75101883,-19.3119013,TRUE,"#4477AA",7.83137999504626,8.40605587209029,7.25614458389716,0.205565334044744,0.282958577859459,0.149340256374613,0.462955080829893,0.633093985969223,0.338539634898114,1.29753704244743,1.60671898059781,1.94844497634842,93.4507479308644,93.4507479308644,100,15996,0.630845211302826,0.369154788697174,0,0,0,0,0,0,0
"Pantanal","PA_49_WALLY","WALLY","GPS+VHF","MALE","ADULT","Yes",2015-05-12,2016-08-17 14:00:00,463.583333333333,-55.77579463,-19.2793056,TRUE,"#4477AA",15.8713554473403,16.0370041825713,15.7056829420612,0.235411568499391,0.251220029718909,0.220597882443337,0.640484948186175,0.670911215144052,0.611438532541103,10.1524536675302,10.6690582305261,11.1983024050165,1598.90600525666,1598.90600525666,100,109165,0.408345165575047,0.499500755736729,0.0903494709842898,0,0,0,0,0,0
"Pantanal","PA_51_MUCCI","MUCCI","GPS+VHF","MALE","ADULT","Yes",2015-07-02,2016-02-04 23:00:00,217.958333333333,-55.76285198,-19.32796,TRUE,"#4477AA",10.9542178578511,11.2636085578187,10.6447075440039,0.106229988902768,0.115842497180066,0.0974151180869409,0.392205236510368,0.438928526711225,0.350455571203638,1.51646237753798,1.59567041038487,1.6768664182663,1520.41389599445,1520.41389599445,100,15871,0.548736689559574,0.451263310440426,0,0,0,0,0,0,0
"Pantanal","PA_52_WIE","WIE","GPS+VHF","FEMALE","SUB-ADULT","No",2015-11-14,2017-03-22 12:00:00,494.5,-55.74403,-19.30343,TRUE,"#4477AA",17.1257876603066,18.1619247667181,16.0888088175167,0.302719893845582,0.349502638242718,0.262199262902959,0.335578295889266,0.410670944291967,0.274216606354019,9.11912081161392,10.1612555173446,11.2589599822501,346.312922315398,346.312922315398,100,101065,0.631365952604759,0.368634047395241,0,0,0,0,0,0,0
"Pantanal","PA_54_PAULONA","PAULONA","GPS+VHF","FEMALE","ADULT","Yes",2015-11-15,2017-08-25 11:00:00,649.458333333333,-55.83369,-19.282,TRUE,"#4477AA",11.3603956712323,11.5050009519597,11.2157650916615,0.366630774948705,0.389110422747337,0.345449819078145,0.440353043037478,0.461391268158186,0.420274105503629,5.19955783442601,5.46738006068852,5.74183335462695,1561.80178004783,1561.80178004783,100,54381,0.605266545300748,0.394733454699252,0,0,0,0,0,0,0
