timestamp,location-long,location-lat,individual-local-identifier
2003-03-12 03:02:00,-52.16855155,-22.61935917,AF_14_JAMESBOND
2003-03-12 03:32:00,-52.16961154,-22.61239638,AF_14_JAMESBOND
2003-03-12 03:57:00,-52.1686534,-22.61299048,AF_14_JAMESBOND
2003-03-14 05:02:00,-52.17074602,-22.61539595,AF_14_JAMESBOND
2003-03-14 05:32:00,-52.17348522,-22.61029062,AF_14_JAMESBOND
2003-03-14 06:00:00,-52.17432652,-22.61198258,AF_14_JAMESBOND
2003-03-14 06:35:00,-52.17465443,-22.61049885,AF_14_JAMESBOND
2003-03-14 07:06:00,-52.17067035,-22.61450228,AF_14_JAMESBOND
2003-03-14 18:31:00,-52.17457848,-22.61415758,AF_14_JAMESBOND
2003-03-14 19:03:00,-52.17139032,-22.61565319,AF_14_JAMESBOND
2003-03-14 19:37:00,-52.17007857,-22.61585244,AF_14_JAMESBOND
2003-03-14 20:23:00,-52.16853728,-22.61997349,AF_14_JAMESBOND
2003-03-14 21:01:00,-52.16773997,-22.62233679,AF_14_JAMESBOND
2003-03-14 21:36:00,-52.16894102,-22.62169576,AF_14_JAMESBOND
2003-04-03 04:28:00,-52.17422664,-22.62084423,AF_14_JAMESBOND
2003-04-03 05:02:00,-52.17428949,-22.62366192,AF_14_JAMESBOND
2003-04-03 05:38:00,-52.17440309,-22.62329076,AF_14_JAMESBOND
2003-04-03 18:26:00,-52.17293217,-22.625379,AF_14_JAMESBOND
2003-04-03 19:03:00,-52.17116386,-22.62337767,AF_14_JAMESBOND
2003-04-03 19:30:00,-52.1693371,-22.62366197,AF_14_JAMESBOND
2003-04-03 20:04:00,-52.16926426,-22.62310248,AF_14_JAMESBOND
2003-04-03 20:32:00,-52.17031023,-22.62368197,AF_14_JAMESBOND
2003-04-03 21:03:00,-52.1701047,-22.62353895,AF_14_JAMESBOND
2003-04-03 21:37:00,-52.16965678,-22.62349705,AF_14_JAMESBOND
2003-04-23 22:42:00,-52.16704463,-22.62986595,AF_14_JAMESBOND
2003-04-24 00:31:00,-52.16918433,-22.62400632,AF_14_JAMESBOND
2003-05-13 04:27:00,-52.16988085,-22.62353155,AF_14_JAMESBOND
2003-05-13 04:58:00,-52.17036985,-22.62267892,AF_14_JAMESBOND
2003-05-13 05:30:00,-52.17316636,-22.62431145,AF_14_JAMESBOND
2003-05-13 06:01:00,-52.17154606,-22.62255291,AF_14_JAMESBOND
2003-05-13 19:07:00,-52.16900959,-22.62405275,AF_14_JAMESBOND
